,Unnamed: 0,Position,Track Name,Artist,Streams,date,region,spotify_id,featured-artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,release_date
3834,3834,35,Arcade,Duncan Laurence,12041745,2019-05-17--2019-05-24,global,1Xi84slp6FryDSCbzq4UCD,,0.818,0.45,0.32899999999999996,0.00109,0.135,-12.603,0.0441,71.884,0.266,70,2019-03-07
229,229,30,SAD!,XXXTENTACION,12020719,2019-01-11--2019-01-18,global,3ee8Jmje8o58CHK66QrVC2,,0.258,0.74,0.613,0.00372,0.12300000000000001,-4.88,0.145,75.023,0.473,86,2018-03-16
9026,9026,27,Mean It,Lauv,12015729,2019-11-15--2019-11-22,global,3GRSqlALWISqLeNncZMbpX,LANY,0.0407,0.746,0.45,0.0,0.172,-8.543,0.0872,95.99799999999999,0.336,60,2019-11-14
9429,9429,30,Fantasias,Rauw Alejandro,12012192,2019-11-29--2019-12-06,global,6mAN61JH0dzyZpWslS11jy,Farruko,0.14300000000000002,0.879,0.703,0.0,0.0569,-4.218999999999999,0.0701,94.00399999999999,0.7879999999999999,88,2019-08-29
630,630,31,Swan Song,Dua Lipa,12007264,2019-01-25--2019-02-01,global,5600nq7TiBraBX2jobyJ3l,,0.00579,0.588,0.821,0.000275,0.20800000000000002,-6.54,0.21600000000000003,188.09799999999998,0.509,68,2019-01-24
3635,3635,36,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,11997661,2019-05-10--2019-05-17,global,3y3brCCecHC3Db18aIOnny,Rita Ora,0.381,0.591,0.705,0.00011599999999999999,0.131,-6.519,0.079,121.79899999999999,0.27,77,2019-04-19
7041,7041,42,I Know,Post Malone,11954473,2019-09-06--2019-09-13,global,2sfZgYusD8bBvB7qWekvSx,,0.49700000000000005,0.6659999999999999,0.603,0.0,0.11199999999999999,-5.671,0.0763,102.94,0.262,19,2019-09-06
831,831,32,Hope,The Chainsmokers,11941751,2019-02-01--2019-02-08,global,4BiiOzZCrXEzHRLYcYFiD5,Winona Oak,0.488,0.773,0.6990000000000001,3.6000000000000003e-06,0.0814,-5.982,0.0958,104.941,0.513,71,2018-12-14
2836,2836,37,HOME,BTS,11938652,2019-04-12--2019-04-19,global,7lthOBXNue2IvedLRfkod8,,0.0142,0.633,0.799,0.0,0.19399999999999998,-4.625,0.0429,142.991,0.535,72,2019-04-12
2234,2234,35,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,11916963,2019-03-22--2019-03-29,global,6JqpFboOH2bq9pzaYbkKBn,"Rita Ora, Anitta",0.18,0.764,0.752,0.0,0.0701,-3.713,0.0711,100.066,0.698,74,2019-03-15
5038,5038,39,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,11863905,2019-06-28--2019-07-05,global,7ILEWkpfdK6AjH2D7jppWk,"Justin Bieber, Ink",0.873,0.66,0.395,0.0,0.11199999999999999,-5.242000000000001,0.0333,81.99700000000001,0.6779999999999999,66,2019-06-28
7043,7043,44,Internet,Post Malone,11850920,2019-09-06--2019-09-13,global,4RzpCjByV1NWUGKVQGuej6,,0.841,0.469,0.489,0.0,0.10300000000000001,-6.071000000000001,0.0314,74.013,0.201,18,2019-09-06
10057,10057,58,Santa Claus Is Coming to Town,Michael Bublé,11844085,2019-12-20--2019-12-27,global,5Ber68jZ7ytegr2UISEdb7,,0.785,0.594,0.389,0.0,0.0313,-7.109,0.0517,122.331,0.396,38,2011-10-14
6430,6430,31,Slide Away,Miley Cyrus,11820439,2019-08-16--2019-08-23,global,44ADyYoY5liaRa3EOAl4uf,,0.17,0.53,0.5379999999999999,2.83e-06,0.248,-6.672000000000001,0.0335,148.05100000000002,0.28800000000000003,79,2019-08-16
